RecordID_Int,ParcelNumber,SaleDate,SaleAmount,BookPage
27035,370085270,1992-05-15T00:00:00.000Z,119000,579:796
27036,370085270,1988-10-31T00:00:00.000Z,98500,0:0
27037,370085270,2001-01-11T00:00:00.000Z,165000,798:324
27038,370085270,2016-05-05T00:00:00.000Z,0,2016:1583
27039,370085270,2017-05-03T00:00:00.000Z,321250,2017:1625
27040,370085280,2011-06-10T00:00:00.000Z,265000,2011:2054A
27041,370085280,1993-01-19T00:00:00.000Z,0,0:0
27042,370085280,2016-05-05T00:00:00.000Z,375000,2016:1584
27043,370085280,1993-05-19T00:00:00.000Z,112500,603:59
27044,370085280,2016-05-05T00:00:00.000Z,0,2016:1583
27045,370085290,1971-12-15T00:00:00.000Z,33000,332:204
27046,370085290,2008-05-06T00:00:00.000Z,0,50:623
27047,370085290,2008-05-06T00:00:00.000Z,250000,1187:163
27048,370085300,2005-08-17T00:00:00.000Z,0,1043:377
27049,370085300,1985-03-01T00:00:00.000Z,89000,460:588
27050,370085300,1981-06-29T00:00:00.000Z,87900,0:0
27051,370085301,1974-05-29T00:00:00.000Z,41250,356:572
27052,370085310,1988-04-08T00:00:00.000Z,0,509:713
27053,370085310,1993-11-05T00:00:00.000Z,85000,616:259
27054,370085320,2010-05-19T00:00:00.000Z,290000,2010:1708
27055,370085320,1958-03-21T00:00:00.000Z,18350,0:0
27056,370085320,2009-11-10T00:00:00.000Z,0,W2009:6562
27057,370085320,1987-03-10T00:00:00.000Z,0,491:697
27058,370085330,2002-01-16T00:00:00.000Z,151000,836:798
27059,370085330,1961-11-06T00:00:00.000Z,19800,0:0
27060,370085330,2011-11-28T00:00:00.000Z,0,2011:4157
27061,370085330,1987-04-27T00:00:00.000Z,0,494:491
27062,370085330,2017-01-05T00:00:00.000Z,255000,2017:47
27063,370085340,2013-02-11T00:00:00.000Z,0,2013:718
27064,370085340,2003-01-03T00:00:00.000Z,161000,885:529
27065,370085340,1999-12-09T00:00:00.000Z,67000,771:151
27066,370085340,1998-09-29T00:00:00.000Z,0,WB 42:357
27067,370085340,1981-06-29T00:00:00.000Z,64900,421:252
27068,370085340,2007-07-16T00:00:00.000Z,340000,1150:817
27069,370085340,2002-01-30T00:00:00.000Z,117000,838:244
27070,370085340,2001-12-27T00:00:00.000Z,79000,834:370
27071,370085340,1998-09-29T00:00:00.000Z,0,WB 42:358
27072,370085350,1995-02-28T00:00:00.000Z,109000,647:735
27073,370085350,2001-05-18T00:00:00.000Z,165000,809:119
27074,370085350,1989-10-27T00:00:00.000Z,100500,0:0
27075,370085360,1995-12-04T00:00:00.000Z,0,WB38:776
27076,370085360,2014-12-29T00:00:00.000Z,172000,2014:4473
27077,370085360,1958-04-23T00:00:00.000Z,17000,205:208
27078,370085360,2015-08-18T00:00:00.000Z,345000,2015:3055
27079,370085370,1989-04-26T00:00:00.000Z,0,527:389
27080,370085370,2017-03-28T00:00:00.000Z,255000,2017:1152
27081,370085370,1999-02-10T00:00:00.000Z,0,745:470
27082,370085370,1984-07-06T00:00:00.000Z,79000,0:0
27083,370085380,1995-07-13T00:00:00.000Z,0,AB38:500
27084,370085380,1986-05-02T00:00:00.000Z,71900,476:798
27085,370085390,2008-01-04T00:00:00.000Z,335000,1172:36
27086,370085390,1984-10-15T00:00:00.000Z,0,456:417
27087,370085390,2005-05-27T00:00:00.000Z,225000,1030:866
27088,370085390,2003-05-06T00:00:00.000Z,215000,905:738
27089,370085390,2003-03-07T00:00:00.000Z,0,WB46:858
27090,370085390,1968-04-29T00:00:00.000Z,19000,0:0
27091,370085400,2003-01-31T00:00:00.000Z,0,WB46:780
27092,370085400,2002-12-09T00:00:00.000Z,0,WB46:682
27093,370085400,1967-09-06T00:00:00.000Z,28000,0:0
27094,370085400,2005-12-02T00:00:00.000Z,342000,1060:230
27095,370085400,1988-03-22T00:00:00.000Z,0,508:852
27096,370085401,1978-08-01T00:00:00.000Z,42000,395:120
27097,370085410,2007-12-14T00:00:00.000Z,335000,1169:885
27098,370085410,2002-10-30T00:00:00.000Z,77660,876:69
27099,370085410,1970-09-23T00:00:00.000Z,26000,319:572
27100,37008541A,2009-09-03T00:00:00.000Z,305000,2009:3993
27101,37008541B,2017-12-15T00:00:00.000Z,335000,2017:4715
27102,37008541B,1900-01-01T00:00:00.000Z,0,0:0
27103,370085420,1978-06-09T00:00:00.000Z,53500,393:291
27104,370085430,1998-05-21T00:00:00.000Z,148000,721:438
27105,370085430,1988-07-05T00:00:00.000Z,114000,0:0
27106,370085430,1991-08-30T00:00:00.000Z,139500,565:460
27107,370085440,2010-04-16T00:00:00.000Z,0,2010:1293
27108,370085440,2007-06-19T00:00:00.000Z,0,1146:826
27109,370085440,2010-04-16T00:00:00.000Z,0,2010:1292
27110,370085440,1983-06-22T00:00:00.000Z,91000,439:342
27111,370085440,2017-03-30T00:00:00.000Z,325000,2017:1185
27112,370085450,2004-06-01T00:00:00.000Z,244900,977:899
27113,370085450,1969-03-17T00:00:00.000Z,23850,0:0
27114,370085450,2014-07-07T00:00:00.000Z,387500,2014:2291
27115,370085450,1984-03-30T00:00:00.000Z,73500,448:698
27116,370085460,2014-06-17T00:00:00.000Z,0,W2014:237
27117,370085460,2009-04-20T00:00:00.000Z,0,2009:1472
27118,370085460,1987-10-27T00:00:00.000Z,96000,503:309
27119,370085460,2011-09-21T00:00:00.000Z,338000,2011:3355
27120,370085460,2005-06-14T00:00:00.000Z,293000,1033:303
27121,370085460,1984-06-20T00:00:00.000Z,61500,0:0
27122,370085470,1988-10-24T00:00:00.000Z,101000,519:803
27123,370085470,1985-12-06T00:00:00.000Z,80000,471:858
27124,370085480,2014-02-27T00:00:00.000Z,0,2014:655
27125,370085480,2004-10-15T00:00:00.000Z,282500,1000:219
27126,370085480,1962-11-20T00:00:00.000Z,3250,236:71
27127,370085480,2013-07-02T00:00:00.000Z,269000,2013:3172
27128,370085480,2017-06-15T00:00:00.000Z,540000,2017:2311
27129,370085490,1959-03-25T00:00:00.000Z,3400,211:491
27130,370085490,2010-04-21T00:00:00.000Z,265000,2010:1350
27131,370085500,2004-09-20T00:00:00.000Z,0,996:329
27132,370085500,1995-07-17T00:00:00.000Z,123900,655:172
27133,370085500,1987-03-27T00:00:00.000Z,86000,0:0
27134,370085500,2001-12-03T00:00:00.000Z,192000,830:711
27135,370085500,1998-03-26T00:00:00.000Z,120750,716:213
27136,370085501,2001-11-14T00:00:00.000Z,0,828:341
27137,370085501,2001-11-14T00:00:00.000Z,150000,828:344
27138,370085501,1989-01-26T00:00:00.000Z,0,487:48
27139,370085501,1986-11-26T00:00:00.000Z,75000,0:0
27140,370085510,2003-05-15T00:00:00.000Z,0,907:650
27141,370085510,2008-03-26T00:00:00.000Z,0,1181:234
27142,370085510,1960-07-13T00:00:00.000Z,3750,220:346
27143,370085520,2001-07-24T00:00:00.000Z,163000,816:669
27144,370085520,1989-01-27T00:00:00.000Z,92000,524:88
27145,370085520,2017-03-27T00:00:00.000Z,0,2017:1136
27146,370085520,2010-06-16T00:00:00.000Z,290000,2010:2107
27147,370085520,1982-06-01T00:00:00.000Z,81600,0:0
27148,370085530,2013-11-21T00:00:00.000Z,0,W2013:481
27149,370085530,2008-05-28T00:00:00.000Z,0,2008:2518
27150,370085530,1973-06-29T00:00:00.000Z,42500,348:322
27151,370085530,2016-11-30T00:00:00.000Z,315000,2016:4579
27152,370085530,2014-04-23T00:00:00.000Z,0,W2014:176
27153,370085540,1996-06-18T00:00:00.000Z,0,673:667
27154,370085540,1995-04-17T00:00:00.000Z,119500,650:50
27155,370085550,2011-05-23T00:00:00.000Z,160000,2011:1814
27156,370085550,2010-12-15T00:00:00.000Z,0,W2010:370
27157,370085550,1985-04-24T00:00:00.000Z,67500,462:271
27158,370085550,1970-06-16T00:00:00.000Z,23500,0:0
27159,370085560,1993-11-22T00:00:00.000Z,0,617:479
27160,370085560,1991-01-16T00:00:00.000Z,80000,0:0
27161,370085560,2003-04-21T00:00:00.000Z,145900,902:687
27162,37008556A,1989-06-02T00:00:00.000Z,79950,529:172
27163,37008556A,1986-10-24T00:00:00.000Z,69350,0:0
27164,370085570,2014-04-16T00:00:00.000Z,0,W2014:155
27165,370085570,1977-06-23T00:00:00.000Z,39000,385:275
27166,37008557A,2007-11-30T00:00:00.000Z,0,1168:1
27167,37008557A,1997-05-08T00:00:00.000Z,74300,0:0
27168,37008557A,1997-11-25T00:00:00.000Z,75000,707:423
27169,370085580,1985-04-17T00:00:00.000Z,59000,462:52
27170,370085580,1988-11-23T00:00:00.000Z,75000,521:323
27171,37008558A,1973-03-23T00:00:00.000Z,35250,344:333
27172,37008558A,2016-07-01T00:00:00.000Z,238000,2016:2467
27173,37008558A,2005-10-27T00:00:00.000Z,285000,1053:602
27174,37008558A,2005-07-29T00:00:00.000Z,285000,1041:62
27175,370085590,2002-02-15T00:00:00.000Z,105000,840:378
27176,370085590,1993-10-01T00:00:00.000Z,75000,613:60
27177,370085590,2015-07-24T00:00:00.000Z,215000,2015:2722
27178,370085590,2006-03-16T00:00:00.000Z,265000,1073:851
27179,370085590,1986-09-26T00:00:00.000Z,21233,0:0
27180,370085590,2016-09-21T00:00:00.000Z,0,2016:3670
27181,37008559A,2000-11-29T00:00:00.000Z,125900,795:680
27182,37008559A,1983-08-24T00:00:00.000Z,57750,441:840
27183,37008559A,1998-06-29T00:00:00.000Z,80000,725:442
27184,370085600,1984-06-27T00:00:00.000Z,65000,451:775
27185,370085600,2014-12-01T00:00:00.000Z,295500,2014:4155
27186,370085600,1998-11-03T00:00:00.000Z,0,737:86
27187,370085600,1960-10-10T00:00:00.000Z,21000,0:0
27188,370085601,1993-07-30T00:00:00.000Z,88600,608:295
27189,370085601,2005-10-03T00:00:00.000Z,212300,1049:655
27190,370085601,2005-06-06T00:00:00.000Z,0,1032:181
27191,370085601,1989-06-23T00:00:00.000Z,79500,0:0
27192,37008560A,2005-07-28T00:00:00.000Z,221500,1040:773
27193,37008560A,1986-08-21T00:00:00.000Z,69000,482:355
27194,37008560A,1980-05-20T00:00:00.000Z,57500,0:0
27195,37008560A,2015-09-21T00:00:00.000Z,160000,2015:3496
27196,37008560A,2016-03-10T00:00:00.000Z,0,2016:789
27197,370085610,2013-10-21T00:00:00.000Z,0,2013:5187
27198,370085610,2004-01-06T00:00:00.000Z,167000,953:18
27199,370085610,2013-10-21T00:00:00.000Z,0,2013:5186
27200,370085610,2001-02-15T00:00:00.000Z,118000,800:682
27201,370085610,1986-08-01T00:00:00.000Z,69000,481:183
27202,370085610,1980-07-31T00:00:00.000Z,57900,0:0
27203,37008561A,2008-12-02T00:00:00.000Z,127700,2008:5654
27204,37008561A,2008-09-17T00:00:00.000Z,216680,2008:4667
27205,37008561A,1983-06-17T00:00:00.000Z,65000,0:0
27206,37008561A,2010-02-25T00:00:00.000Z,0,2010:636
27207,37008561A,2005-11-07T00:00:00.000Z,0,1054:854
27208,37008561A,2004-07-09T00:00:00.000Z,0,984:675
27209,37008561A,1987-08-26T00:00:00.000Z,67500,500:692
27210,37008561A,2016-10-18T00:00:00.000Z,0,2016:4035
