geo_name,geo_sumlevel,geo_id,income_2013,income_2014,income_2015,income_2016,median_property_value_2013,median_property_value_2014,median_property_value_2015,median_property_value_2016
"Plainview, TX","place",16000US4857980,40280,42419,43424,44221,75300,76200,78300,80200
"Plano, TX","place",16000US4858016,82484,82944,83793,85085,217800,222800,231600,248800
"Pleak, TX","place",16000US4858088,51146,42330,41098,52375,134000,120000,122000,150900
"Pleasant Hill, TX","place",16000US4858232,39097,41845,53382,53343,27300,33200,42200,46300
"Pleasanton, TX","place",16000US4858280,51981,52398,55494,59646,101300,109800,119400,134700
"Pleasant Valley, TX","place",16000US4858400,54886,54479,54659,62625,96900,97900,101400,106400
"Plum Grove, TX","place",16000US4858448,42000,36938,50139,43333,85000,88700,89600,85900
"Point, TX","place",16000US4858532,40781,29464,30417,29115,73100,72400,67500,55800
"Point Blank, TX","place",16000US4858556,53500,44444,49375,33333,107200,103800,107400,113500
"Point Comfort, TX","place",16000US4858568,54659,52422,63500,63594,57800,56400,68500,82100
"Point Venture, TX","place",16000US4858586,76667,78906,81094,84896,230400,214800,209200,228400
"Ponder, TX","place",16000US4858664,77105,86917,87258,89226,142400,136900,139600,147400
"Port Aransas, TX","place",16000US4858808,42127,42224,48604,50741,272400,263700,292600,267800
"Port Arthur, TX","place",16000US4858820,31315,31736,32863,32003,66700,66200,64600,64300
"Porter Heights, TX","place",16000US4858850,43482,22383,,,112200,131000,132800,136800
"Port Isabel, TX","place",16000US4858892,32967,32415,31765,32566,98100,93800,91800,95900
"Portland, TX","place",16000US4858904,65046,66662,62561,59199,137900,139200,145200,149800
"Port Lavaca, TX","place",16000US4858916,42712,42598,45560,43515,81400,80600,84800,90400
"Port Mansfield, TX","place",16000US4858928,9143,15515,12321,,53800,115600,106300,118800
"Port Neches, TX","place",16000US4858940,61363,61600,60768,60205,131400,138100,143200,142900
"Port O'Connor, TX","place",16000US4858952,52188,57303,57991,59167,166000,171400,169300,165900
"Post, TX","place",16000US4859012,44948,46830,48000,46214,48800,49900,71200,72800
"Post Oak Bend City, TX","place",16000US4859066,85893,86429,80938,80313,230800,231800,241500,217200
"Poteet, TX","place",16000US4859084,38708,37634,31100,29786,50500,54500,70100,71700
"Poth, TX","place",16000US4859096,54091,59348,60750,66000,87300,101800,114200,121500
"Potosi, TX","place",16000US4859108,70865,86083,76458,69919,176600,194300,174700,166300
"Pottsboro, TX","place",16000US4859132,53906,58125,53889,57697,152300,146900,146400,149200
"Powderly, TX","place",16000US4859156,39572,42083,52880,58313,91400,91100,104900,114400
"Powell, TX","place",16000US4859168,28333,27143,19500,18958,59400,65800,67100,65700
"Poynor, TX","place",16000US4859192,43438,41625,41364,44583,56300,53300,68300,80500
"Prado Verde, TX","place",16000US4859210,60156,51250,117917,123056,170300,191100,271600,281000
"Prairie View, TX","place",16000US4859336,31827,28929,29861,24625,108100,107300,130000,148800
"Premont, TX","place",16000US4859384,30250,28842,31100,29599,47300,47200,49300,51500
"Presidio, TX","place",16000US4859396,21420,22080,25668,24767,38200,37400,46700,54700
"Preston, TX","place",16000US4859420,50212,48661,44694,40179,86300,90800,77900,77700
"Primera, TX","place",16000US4859540,50337,44250,50966,54595,82500,85200,91900,95900
"Princeton, TX","place",16000US4859576,45880,43681,41667,51952,120500,121800,127700,138200
"Progreso, TX","place",16000US4859636,29750,29441,29088,43355,60100,61300,42000,51100
"Progreso Lakes, TX","place",16000US4859642,71250,74375,72188,86429,210900,171600,166300,219400
"Prosper, TX","place",16000US4859696,118281,111641,115203,120270,339200,343100,365600,378700
"Providence Village, TX","place",16000US4859748,85599,85743,85440,87083,143900,148000,156700,164400
